shrub.species,shrub.common,shrub.scientific,shrub.scientific.update,shrub.common.pretty,shrub.origin,shrub.origin.update,origin.note,total.abundance
rubus.laciniatus,evergreen.blackberry,Rubus laciniatus,,Evergreen blackberry,non-native,,europe,0
rubus.spectabilis,salmonberry,Rubus spectabilis,,Salmonberry,native,,,0
sambucus.sp,elderberry,Sambucus sp.,,Elderberry,ambiguous,,both native and non native species grown,0
sarcococca.confusa,sweet.box,Sarcococca confusa,,Sweet box,non-native,,asia; this genus not recognized in TS but see https://link.springer.com/article/10.1007/s10681-017-1934-0 ,0
spiraea.nipponica,japanese.spiraea,Spiraea nipponica,,Japanese spirea,non-native,,asia,0
spiraea.japonica.gp,spiraea.japonica.gp,Spiraea japonica gp.,,Spiraea japonica gp.,non-native,,mostly non-native cultivar S. japonica and various crosses; may be one or two natives mixed in but unlikely,0
styrax.japonicus,japanese.snowball,Styrax japonicus,,Japanese snowball,non-native,,south america and asia,0
symphoricarpos.sp,snowberry,Symphoricarpos sp.,,Snowberry,native,,"likely, some species from southwestern us",0
syringa.vulgaris,lilac,Syringa vulgaris,,Lilac,non-native,,europe (balkans),0
thuja.occidentalis,arborvitae,Thuja occidentalis,,Arborvitae,non-native,,eastern US,0
unknown.gpB,unknown.gpB,Unknown B gp.,,Unknown B gp.,ambiguous,,,0
unknown.gpC,unknown.gpC,Unknown C gp.,,Unknown C gp.,ambiguous,,,0
unknown.gpF,unknown.gpF,Unknown F gp.,,Unknown F gp.,ambiguous,,,0
unknown.gpG,unknown.gpG,Unknown G gp.,,Unknown G gp.,ambiguous,,,0
unknown.gpJ,unknown.gpJ,Unknown J gp.,,Unknown J gp.,ambiguous,,,0
unknown.gpK,unknown.gpK,Unknown K gp.,,Unknown K gp.,ambiguous,,,0
unknown.gpL,unknown.gpL,Unknown L gp.,,Unknown L gp.,ambiguous,,,0
unknown.gpN,unknown.gpN,Unknown N gp.,,Unknown N gp.,ambiguous,,,0
unknown.gpS,unknown.gpS,Unknown S gp.,,Unknown S gp.,ambiguous,,,0
vaccinium.cyanococcus.gp,blueberry,Vaccinium cyanococcus gp.,Vaccinium sect. Cyanococcus,Blueberry,native,,,0
vaccinium.ovatum,evergreen.huckleberry,Vaccinium ovatum,,Evergreen huckleberry,native,,,0
vaccinium.parvifolium,huckleberry,Vaccinium parvifolium,,Huckleberry,native,,,0
viburnum.davidii,david.viburnum,Viburnum davidii,,David viburnum,non-native,,china; species not recgnized by IT IS but see https://gd.eppo.int/taxon/VIBDV and https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=237932,0
viburnum.plicatum,viburnum.hydrangea,Viburnum plicatum,,Snowball bush,non-native,,china,0
viburnum.tinus,laurustinus,Viburnum tinus,,Laurustinus,non-native,,europe and north africa,0
