"","ACS_GEOID_Data","dissolve_yn","DissolvedArea","vegetation_class","vegetation_comment","dissolved_centroid_250m_buffer_impervious_250_mean","dissolved_centroid_500m_buffer_impervious_500m_mean","dissolved_centroid_1km_buffer_impervious_1km_mean","dissolved_parcel_250m_buffer_impervious_250m_mean","dissolved_parcel_500m_buffer_impervious_500m_mean","dissolved_parcel_1km_buffer_impervious_1km_mean","dissolved_centroid_250m_intersections_NUMPOINTS","dissolved_centroid_500m_intersections_NUMPOINTS","dissolved_centroid_1km_intersections_NUMPOINTS","dissolved_parcel_250m_intersections_NUMPOINTS","dissolved_parcel_500m_intersections_NUMPOINTS","dissolved_parcel_1km_intersections_NUMPOINTS","PropType","DistrictName","CurrentZoning","BldgQuality_lookup","TotalApprLandVal","TotalApprImpsVal","TotalBldgGrossSqFt","TotalBldgNetSqFt","YrBuiltAvg","EffYrAvg","Proportion_ForeignBorn_B99051e5","MedianHouseholdIncome_B19013e1","SiteName","in.sample","acres","TV_mean","SMV_mean","IMP_mean"
"110","15000US530330240001","N",18806.6502990723,"MM","",49.3454545454545,54.9494252873563,61.5055921995985,49.9216417910448,55.2103626943005,61.9350013598042,1,4,79,1,4,101,"C","BELLEVUE","O","GOOD",1132700,1535500,11629,9736,1985,1995,0.282201405152225,103287,NA,"N",0.4318006908667,0.106751318904567,0.296311208560628,0.480026044482688
"111","15000US530330240001","N",10487.804901123,"MM","",53.0963302752294,55.5442020665901,62.085411292634,53.0193798449612,55.8152866242038,62.4051155115512,1,4,79,1,7,90,"C","BELLEVUE","O","GOOD",569300,428600,3203,3203,1986,1991,0.282201405152225,103287,NA,"N",0.240800000529784,0.110351299513028,0.294003577321055,0.480023096181957
"112","15000US530330240001","N",10375.3059997559,"LP","",56.9315068493151,56.3757159221077,62.8048780487805,56.23046875,56.485200845666,63.1095814977974,1,4,81,1,7,90,"C","BELLEVUE","O","GOOD/EXCELLENT",569500,2916800,10532,10178,2007,2007,0.282201405152225,103287,NA,"N",0.238217025754395,0.116574404964958,0.289433937406337,0.481406110681105
"113","15000US530330240001","N",10003.9317016602,"MM","",50.337962962963,56.9266895761741,62.3365881677197,50.796875,56.9176346356917,62.7335172413793,1,4,102,1,5,103,"C","BELLEVUE","O","AVERAGE",568200,392500,2135,2135,1956,1986,0.282201405152225,103287,NA,"N",0.229690271870118,0.09698497845236,0.288001478494149,0.496672799592237
"114","15000US530330240001","N",27630.7842102051,"MM","",52.3023255813954,59.1748571428571,63.4962686567164,52.8607142857143,58.9596367305752,64.0891753961859,0,9,105,1,12,119,"C","BELLEVUE","O","GOOD",1658100,716800,8788,8788,1985,1990,0.282201405152225,103287,NA,"N",0.634402805466309,0.087729299245123,0.284608798402943,0.508530094631702
"115","15000US530330240001","N",10849.6428833008,"MM","",54.112676056338,58.1260022909507,63.1555873925501,54.2277992277992,58.3294367693943,63.4791323448655,1,5,102,1,9,103,"C","BELLEVUE","O","AVERAGE",569300,1000,1320,1320,1950,1950,0.282201405152225,103287,NA,"N",0.249107800600586,0.097760905735881,0.281600537316868,0.503460973487593
"116","15000US530330240001","N",26795.9297180176,"LL","original",56.8721461187215,58.6437571592211,63.8406088454911,56.4377224199288,58.9316582914573,64.3530831099196,1,6,101,1,10,112,"C","BELLEVUE","O","GOOD",1471400,1047100,10218,10218,1986,1991,0.282201405152225,103287,NA,"N",0.615234546325684,0.101948938199838,0.27966205118272,0.504616790180406
"117","15000US530330240001","N",27631.3523254394,"LL","original",56.8863636363636,60.5114678899083,64.7277156778447,57.2985611510791,60.4575757575758,65.2150537634409,1,10,108,2,10,115,"C","BELLEVUE","O","GOOD",1516100,1036300,8788,8788,1985,1990,0.282201405152225,103287,NA,"N",0.634415849392089,0.09202953114427,0.275850692437778,0.517414465053803
"118","15000US530330240001","Y",18588.8248596191,"MM","",55.4608294930876,61.0034285714286,65.144657691206,56.8834586466165,61.1776180698152,65.4594815825375,1,12,114,1,12,124,"C","BELLEVUE","O","AVERAGE",1164700,173600,2350,2350,1953,1988,0.282201405152225,103287,NA,"N",0.426799418776855,0.074405847357104,0.269894923830419,0.531362354589791
"119","15000US530330240001","N",54348.9267272949,"LL","original",58.0550458715596,61.4205069124424,65.270146257528,58.7861111111111,60.2839506172839,65.6245930378162,0,10,115,2,15,119,"C","BELLEVUE","O","AVERAGE",2965500,2662700,24212,19345,1985,1990,0.282201405152225,103287,NA,"N",1.24785135765869,0.091541250342,0.278222718210676,0.512072230388816
